/* DATA DESCRIPTION:
Citation:	Singh, Dharmendra Pratap (2026): δ¹⁵N and TN records of sediment core SSD004 GC11 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.993903, 
	In: Singh, DP (2026): Basin-scale Arabian Sea denitrification reconstruction based on δ¹⁵N records including core SSD004 GC11 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.993898
Abstract:	This dataset provides nitrogen isotopic composition (δ¹⁵N) and total nitrogen (TN) measurements from marine sediment core SSD004 GC11 in the southern Arabian Sea covering the last ~167 ka. The records document variability in water-column denitrification, an important control on marine nitrogen cycling and atmospheric N₂O emissions. δ¹⁵N values indicate strong coupling between primary productivity and denitrification during warm intervals, with weaker coupling during cold periods despite continued productivity linked to winter monsoon mixing.
Keyword(s):	Arabian Sea; d15N; Sedimentary geochemistry; Stack; TN
Related to:	Pawar, Rahul; Singh, Dharmendra Pratap; Saraswat, Rajeev; Maurya, Abhayanand Singh (2026): Orbital forcing regulated Arabian Sea denitrification during the late Pleistocene. Global and Planetary Change, 259, 105373, https://doi.org/10.1016/j.gloplacha.2026.105373
Funding:	Science and Engineering Research Board (SERB), grant/award no. SRG/2021/000620
Coverage:	LATITUDE: 6.000000 * LONGITUDE: 78.931200
	MINIMUM DEPTH, sediment/rock: 0.005 m * MAXIMUM DEPTH, sediment/rock: 5.835 m
Event(s):	SSD004_GC11 * LATITUDE: 6.000000 * LONGITUDE: 78.931200 * ELEVATION: -2901.0 m * BASIS: Sindhu Sadhana (URI: https://www.nio.res.in/research/research-vessels/rv-sindhu-sadhana) * METHOD/DEVICE: Gravity corer (GC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	Depth, sediment/rock, top/minimum [m] (Depth sed top) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	Depth, sediment/rock, bottom/maximum [m] (Depth sed bot) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	AGE [ka BP] (Age) * GEOCODE * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	δ15N, bulk sediment [‰ air] (δ15N bulk) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS) Thermo Fisher Scientific, MAT 253 Plus
	Nitrogen, total [%] (TN) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS) Thermo Fisher Scientific, MAT 253 Plus * COMMENT: wt. %
	Tephra/volcanic ash (Tephra) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	2333 data points
*/
Depth sed [m]	Depth sed top [m]	Depth sed bot [m]	Age [ka BP]	δ15N bulk [‰ air]	TN [%]	Tephra
0.695	0.69	0.70	17.36	6.51	0.14	
0.705	0.70	0.71	17.55	6.55	0.15	
0.715	0.71	0.72	17.74	5.31	0.16	
0.725	0.72	0.73	18.00	5.59	0.15	
0.735	0.73	0.74	18.27	5.41	0.16	
0.745	0.74	0.75	18.52	5.43	0.16	
0.755	0.75	0.76	18.78	5.17	0.15	
0.765	0.76	0.77	19.05	5.94	0.14	
0.775	0.77	0.78	19.31	5.85	0.13	
0.785	0.78	0.79	19.58	6.53	0.13	
0.795	0.79	0.80	19.83	6.30	0.13	
0.805	0.80	0.81	20.06	6.97	0.13	
0.815	0.81	0.82	20.31	7.05	0.13	
0.825	0.82	0.83	20.57	7.39	0.11	
0.835	0.83	0.84	20.86	6.98	0.11	
0.845	0.84	0.85	21.20	7.06	0.11	
0.855	0.85	0.86	21.52	7.11	0.12	
0.865	0.86	0.87	21.81	7.05	0.12	
0.875	0.87	0.88	22.06	6.63	0.13	
0.885	0.88	0.89	22.30	7.00	0.12	
0.895	0.89	0.90	22.54	6.73	0.12	
0.905	0.90	0.91	22.80	6.75	0.13	
0.915	0.91	0.92	23.05	6.47	0.13	
0.925	0.92	0.93	23.28	6.16	0.13	
0.935	0.93	0.94	23.49	6.39	0.12	
0.945	0.94	0.95	23.74	6.41	0.11	
0.955	0.95	0.96	23.99	6.66	0.12	
0.965	0.96	0.97	24.27	6.79	0.13	
0.975	0.97	0.98	24.51	6.61	0.12	
0.985	0.98	0.99	24.75	6.53	0.12	
0.995	0.99	1.00	25.01	6.20	0.12	
1.005	1.00	1.01	25.40	6.93	0.12	
1.015	1.01	1.02	25.75	6.82	0.12	
1.025	1.02	1.03	25.97	7.17	0.12	
1.035	1.03	1.04	26.17	6.60	0.12	
1.045	1.04	1.05	26.37	6.99	0.11	
1.055	1.05	1.06	26.56	7.10	0.11	
1.065	1.06	1.07	26.74	6.62	0.12	
1.075	1.07	1.08	26.93	6.46	0.13	
1.085	1.08	1.09	27.10	6.90	0.11	
1.095	1.09	1.10	27.29	6.70	0.11	
1.105	1.10	1.11	27.45	6.86	0.11	
1.115	1.11	1.12	27.63	6.52	0.12	
1.125	1.12	1.13	27.80	6.25	0.14	
1.135	1.13	1.14	27.97	6.64	0.12	
1.145	1.14	1.15	28.18	6.28	0.12	
1.155	1.15	1.16	28.39	6.41	0.12	
1.165	1.16	1.17	28.66	6.37	0.12	
1.175	1.17	1.18	28.99	6.67	0.12	
1.185	1.18	1.19	29.27	6.51	0.12	
1.195	1.19	1.20	29.59	7.02	0.12	
1.205	1.20	1.21	30.23	6.21	0.11	
1.215	1.21	1.22	31.06	6.19	0.11	
1.225	1.22	1.23	32.01	6.72	0.12	
1.235	1.23	1.24	32.70	6.81	0.11	
1.245	1.24	1.25	33.33	6.03	0.11	
1.255	1.25	1.26	33.87	6.39	0.11	
1.265	1.26	1.27	34.44	5.69	0.13	
1.275	1.27	1.28	34.98	6.52	0.10	
1.285	1.28	1.29	35.41	6.53	0.11	
1.295	1.29	1.30	35.83	6.36	0.11	
1.305	1.30	1.31	36.11	6.68	0.10	
1.315	1.31	1.32	36.37	7.09	0.10	
1.325	1.32	1.33	36.65	6.43	0.11	
1.335	1.33	1.34	36.91	7.22	0.10	
1.345	1.34	1.35	37.17	6.88	0.10	
1.355	1.35	1.36	37.44	6.76	0.11	
1.365	1.36	1.37	37.66	6.73	0.11	
1.375	1.37	1.38	37.87	6.57	0.09	
1.385	1.38	1.39	38.09	6.97	0.09	
1.395	1.39	1.40	38.31	6.20	0.10	
1.405	1.40	1.41	38.54	5.96	0.10	
1.415	1.41	1.42	38.75	6.28	0.10	
1.425	1.42	1.43	38.98	6.37	0.12	
1.435	1.43	1.44	39.20	6.34	0.10	
1.445	1.44	1.45	39.43	6.43	0.10	
1.455	1.45	1.46	39.66	6.33	0.12	
1.465	1.46	1.47	39.90	6.24	0.10	
1.475	1.47	1.48	40.13	6.20	0.14	
1.485	1.48	1.49	40.35	5.54	0.14	
1.495	1.49	1.50	40.57	6.96	0.12	
1.505	1.50	1.51	40.80	6.85	0.13	
1.515	1.51	1.52	41.03	6.99	0.12	
1.525	1.52	1.53	41.25	6.93	0.10	
1.535	1.53	1.54	41.47	6.97	0.10	
1.545	1.54	1.55	41.70	7.14	0.11	
1.555	1.55	1.56	41.91	7.42	0.12	
1.565	1.56	1.57	42.15	7.56	0.12	
1.575	1.57	1.58	42.40	8.24	0.11	
1.585	1.58	1.59	42.67	6.71	0.12	
1.595	1.59	1.60	42.93	6.77	0.12	
1.605	1.60	1.61	43.23	7.45	0.12	
1.615	1.61	1.62	43.52	7.37	0.10	
1.625	1.62	1.63	43.80	7.21	0.13	
1.635	1.63	1.64	44.07	7.07	0.12	
1.645	1.64	1.65	44.43	7.03	0.12	
1.655	1.65	1.66	44.77	7.38	0.09	
1.665	1.66	1.67	44.98	7.39	0.11	
1.675	1.67	1.68	45.19	7.27	0.10	
1.685	1.68	1.69	45.40	7.02	0.11	
1.695	1.69	1.70	45.62	7.33	0.12	
1.705	1.70	1.71	45.82	7.61	0.13	
1.715	1.71	1.72	46.02	7.72	0.12	
1.725	1.72	1.73	46.22	8.17	0.12	
1.735	1.73	1.74	46.44	7.65	0.12	
1.745	1.74	1.75	46.68	7.27	0.12	
1.755	1.75	1.76	46.88	7.23	0.11	
1.765	1.76	1.77	47.13	6.64	0.11	
1.775	1.77	1.78	47.37	7.82	0.12	
1.785	1.78	1.79	47.60	6.65	0.12	
1.795	1.79	1.80	47.83	7.40	0.12	
1.805	1.80	1.81	48.04	7.33	0.11	
1.815	1.81	1.82	48.25	7.21	0.12	
1.825	1.82	1.83	48.49	7.32	0.12	
1.835	1.83	1.84	48.73	7.24	0.12	
1.845	1.84	1.85	48.97	7.17	0.12	
1.855	1.85	1.86	49.22	7.66	0.12	
1.865	1.86	1.87	49.46	7.72	0.12	
1.875	1.87	1.88	49.70	7.31	0.13	
1.885	1.88	1.89	49.91	7.86	0.12	
1.895	1.89	1.90	50.10	7.24	0.13	
1.905	1.90	1.91	50.30	6.85	0.12	
1.915	1.91	1.92	50.49	6.95	0.12	
1.925	1.92	1.93	50.68	7.11	0.12	
1.935	1.93	1.94	50.87	6.81	0.12	
1.945	1.94	1.95	51.06	7.34	0.12	
1.955	1.95	1.96	51.25	7.56	0.11	
1.965	1.96	1.97	51.45	6.62	0.11	
1.975	1.97	1.98	51.65	6.88	0.11	
1.985	1.98	1.99	51.85	7.07	0.12	
1.995	1.99	2.00	52.06	6.78	0.12	
2.005	2.00	2.01	52.31	7.32	0.11	
2.015	2.01	2.02	52.56	6.91	0.11	
2.025	2.02	2.03	52.98	7.10	0.11	
2.035	2.03	2.04	53.44	7.17	0.10	
2.045	2.04	2.05	53.83	7.55	0.10	
2.055	2.05	2.06	54.23	7.19	0.10	
2.065	2.06	2.07	54.68	7.01	0.10	
2.075	2.07	2.08	55.08	6.49	0.08	
2.085	2.08	2.09	55.46	5.65	0.09	
2.095	2.09	2.10	55.84	5.97	0.10	
2.105	2.10	2.11	56.13	7.34	0.09	
2.115	2.11	2.12	56.40	5.82	0.09	
2.125	2.12	2.13	56.67	5.72	0.10	
2.135	2.13	2.14	56.95	5.86	0.09	
2.145	2.14	2.15	57.17	5.71	0.10	
2.155	2.15	2.16	57.39	5.29	0.10	
2.165	2.16	2.17	57.61	5.87	0.10	
2.175	2.17	2.18	57.82	5.32	0.11	
2.185	2.18	2.19	58.01	4.96	0.11	
2.195	2.19	2.20	58.22	5.02	0.11	
2.205	2.20	2.21	58.42	6.39	0.10	
2.215	2.21	2.22	58.63	6.22	0.11	
2.225	2.22	2.23	58.85	5.91	0.11	
2.235	2.23	2.24	59.07	5.83	0.10	
2.245	2.24	2.25	59.29	5.92	0.11	
2.255	2.25	2.26	59.51	5.75	0.11	
2.265	2.26	2.27	59.77	5.41	0.11	
2.275	2.27	2.28	60.03	5.60	0.12	
2.285	2.28	2.29	60.30	5.31	0.12	
2.295	2.29	2.30	60.56	5.27	0.12	
2.305	2.30	2.31	60.78	5.05	0.12	
2.315	2.31	2.32	61.01	5.38	0.13	
2.325	2.32	2.33	61.24	5.23	0.14	
2.335	2.33	2.34	61.47	5.14	0.14	
2.345	2.34	2.35	61.72	4.98	0.12	
2.355	2.35	2.36	61.99	4.71	0.16	
2.365	2.36	2.37	62.27	5.15	0.16	
2.375	2.37	2.38	62.53	5.08	0.16	
2.385	2.38	2.39	62.79	5.37	0.17	
2.395	2.39	2.40	63.08	5.72	0.17	
2.405	2.40	2.41	63.57	5.27	0.15	
2.415	2.41	2.42	64.10	5.83	0.15	
2.425	2.42	2.43	64.87	5.66	0.13	
2.435	2.43	2.44	65.75	5.78	0.12	
2.445	2.44	2.45	66.28	6.08	0.12	
2.455	2.45	2.46	66.77	6.19	0.11	
2.465	2.46	2.47	67.12	6.03	0.10	
2.475	2.47	2.48	67.48	5.74	0.09	
2.485	2.48	2.49	67.87	6.04	0.11	
2.495	2.49	2.50	68.29	6.25	0.11	
2.505	2.50	2.51	68.73	6.22	0.09	
2.515	2.51	2.52	69.27			Toba Ash
2.525	2.52	2.53	71.50			Toba Ash
2.535	2.53	2.54	73.58			Toba Ash
2.545	2.54	2.55	74.13	7.04	0.17	
2.555	2.55	2.56	74.77	6.76	0.13	
2.565	2.56	2.57	75.49	7.01	0.16	
2.575	2.57	2.58	76.13	6.76	0.14	
2.585	2.58	2.59	76.48	6.94	0.20	
2.595	2.59	2.60	76.83	6.79	0.18	
2.605	2.60	2.61	77.18	6.90	0.19	
2.615	2.61	2.62	77.55	6.84	0.18	
2.625	2.62	2.63	77.94	7.10	0.20	
2.635	2.63	2.64	78.32	7.12	0.18	
2.645	2.64	2.65	78.61	7.31	0.16	
2.655	2.65	2.66	78.91	7.12	0.17	
2.665	2.66	2.67	79.18	6.92	0.14	
2.675	2.67	2.68	79.47	6.91	0.16	
2.685	2.68	2.69	79.74	6.34	0.14	
2.695	2.69	2.70	80.01	7.08	0.15	
2.705	2.70	2.71	80.24	7.11	0.15	
2.715	2.71	2.72	80.48	7.05	0.15	
2.725	2.72	2.73	80.74	6.97	0.15	
2.735	2.73	2.74	81.00	7.00	0.15	
2.745	2.74	2.75	81.23	6.83	0.14	
2.755	2.75	2.76	81.46	6.94	0.13	
2.765	2.76	2.77	81.70	7.12	0.16	
2.775	2.77	2.78	81.92	6.41	0.15	
2.785	2.78	2.79	82.15	7.09	0.13	
2.795	2.79	2.80	82.37	7.08	0.13	
2.805	2.80	2.81	82.60	7.24	0.14	
2.815	2.81	2.82	82.83	6.84	0.14	
2.825	2.82	2.83	83.04	7.05	0.13	
2.835	2.83	2.84	83.25	6.96	0.16	
2.845	2.84	2.85	83.48	6.17	0.11	
2.855	2.85	2.86	83.69	5.46	0.10	
2.865	2.86	2.87	83.92	5.95	0.10	
2.875	2.87	2.88	84.14	6.21	0.10	
2.885	2.88	2.89	84.34	5.60	0.10	
2.895	2.89	2.90	84.53	5.87	0.11	
2.905	2.90	2.91	84.72	6.16	0.11	
2.915	2.91	2.92	84.91	5.70	0.11	
2.925	2.92	2.93	85.09	5.99	0.10	
2.935	2.93	2.94	85.27	6.35	0.10	
2.945	2.94	2.95	85.47	6.52	0.10	
2.955	2.95	2.96	85.66	5.99	0.10	
2.965	2.96	2.97	85.86	6.00	0.10	
2.975	2.97	2.98	86.06	6.26	0.11	
2.985	2.98	2.99	86.26	6.08	0.13	
2.995	2.99	3.00	86.47	6.05	0.12	
3.005	3.00	3.01	86.67	5.86	0.14	
3.015	3.01	3.02	86.86	5.98	0.14	
3.025	3.02	3.03	87.05	6.07	0.13	
3.035	3.03	3.04	87.24	6.14	0.14	
3.045	3.04	3.05	87.45	6.33	0.14	
3.055	3.05	3.06	87.65	6.27	0.14	
3.065	3.06	3.07	87.83	5.99	0.14	
3.075	3.07	3.08	88.03	6.18	0.14	
3.085	3.08	3.09	88.22	6.04	0.15	
3.095	3.09	3.10	88.40	6.10	0.14	
3.105	3.10	3.11	88.60	6.05	0.15	
3.115	3.11	3.12	88.80	6.04	0.15	
3.125	3.12	3.13	89.01	6.04	0.15	
3.135	3.13	3.14	89.24	6.37	0.15	
3.145	3.14	3.15	89.47	6.36	0.16	
3.155	3.15	3.16	89.71	6.25	0.16	
3.165	3.16	3.17	89.93	6.33	0.15	
3.175	3.17	3.18	90.15	6.26	0.15	
3.185	3.18	3.19	90.37	6.43	0.15	
3.195	3.19	3.20	90.61	6.24	0.12	
3.205	3.20	3.21	90.85	6.19	0.13	
3.215	3.21	3.22	91.11	6.32	0.13	
3.225	3.22	3.23	91.40	6.48	0.14	
3.235	3.23	3.24	91.68	6.79	0.14	
3.245	3.24	3.25	92.12	6.62	0.14	
3.255	3.25	3.26	92.64	6.82	0.13	
3.265	3.26	3.27	93.02	6.89	0.14	
3.275	3.27	3.28	93.35	6.86	0.14	
3.285	3.28	3.29	93.59	6.72	0.14	
3.295	3.29	3.30	93.82	6.92	0.14	
3.305	3.30	3.31	94.02	6.52	0.13	
3.315	3.31	3.32	94.21	6.86	0.13	
3.325	3.32	3.33	94.39	6.82	0.13	
3.335	3.33	3.34	94.57	6.84	0.13	
3.345	3.34	3.35	94.73	7.39	0.13	
3.355	3.35	3.36	94.90	7.61	0.14	
3.365	3.36	3.37	95.07	7.54	0.13	
3.375	3.37	3.38	95.21	6.99	0.13	
3.385	3.38	3.39	95.37	7.62	0.13	
3.395	3.39	3.40	95.54	7.88	0.13	
3.405	3.40	3.41	95.72	7.81	0.13	
3.415	3.41	3.42	95.89	7.67	0.13	
3.425	3.42	3.43	96.06	7.61	0.15	
3.435	3.43	3.44	96.24	7.35	0.15	
3.445	3.44	3.45	96.41	7.33	0.14	
3.455	3.45	3.46	96.58	7.05	0.14	
3.465	3.46	3.47	96.76	7.44	0.13	
3.475	3.47	3.48	96.93	7.69	0.14	
3.485	3.48	3.49	97.11	6.81	0.12	
3.495	3.49	3.50	97.29	7.25	0.13	
3.505	3.50	3.51	97.46	7.22	0.13	
3.515	3.51	3.52	97.66	7.21	0.12	
3.525	3.52	3.53	97.87	7.05	0.11	
3.535	3.53	3.54	98.08	7.23	0.11	
3.545	3.54	3.55	98.27	7.21	0.10	
3.555	3.55	3.56	98.46	7.07	0.10	
3.565	3.56	3.57	98.64	6.64	0.11	
3.575	3.57	3.58	98.80	6.40	0.10	
3.585	3.58	3.59	98.95	6.12	0.10	
3.595	3.59	3.60	99.12	6.05	0.10	
3.605	3.60	3.61	99.26	6.07	0.10	
3.615	3.61	3.62	99.42	6.93	0.13	
3.625	3.62	3.63	99.58	6.51	0.13	
3.635	3.63	3.64	99.72	6.50	0.10	
3.645	3.64	3.65	99.89	6.06	0.11	
3.655	3.65	3.66	100.06	5.69	0.10	
3.665	3.66	3.67	100.23	5.71	0.10	
3.675	3.67	3.68	100.41	6.08	0.10	
3.685	3.68	3.69	100.59	5.69	0.11	
3.695	3.69	3.70	100.78	5.62	0.12	
3.705	3.70	3.71	100.97	5.56	0.11	
3.715	3.71	3.72	101.19	5.62	0.12	
3.725	3.72	3.73	101.40	5.60	0.12	
3.735	3.73	3.74	101.61	5.60	0.12	
3.745	3.74	3.75	101.80	5.47	0.13	
3.755	3.75	3.76	101.98	5.49	0.13	
3.765	3.76	3.77	102.20	5.77	0.13	
3.775	3.77	3.78	102.46	5.49	0.12	
3.785	3.78	3.79	102.73	5.66	0.13	
3.795	3.79	3.80	103.01	5.79	0.13	
3.805	3.80	3.81	103.31	5.79	0.13	
3.815	3.81	3.82	103.62	5.80	0.13	
3.825	3.82	3.83	104.01	5.91	0.11	
3.835	3.83	3.84	104.52	5.72	0.13	
3.845	3.84	3.85	104.91	6.06	0.12	
3.855	3.85	3.86	105.34	5.75	0.12	
3.865	3.86	3.87	105.85	6.12	0.12	
3.875	3.87	3.88	106.48	6.00	0.12	
3.885	3.88	3.89	107.31	6.27	0.11	
3.895	3.89	3.90	108.22	5.73	0.11	
3.905	3.90	3.91	109.10	6.09	0.12	
3.915	3.91	3.92	109.88	5.79	0.12	
3.925	3.92	3.93	111.18	6.59	0.14	
3.935	3.93	3.94	112.42	6.44	0.13	
3.945	3.94	3.95	112.77	7.03	0.13	
3.955	3.95	3.96	113.04	6.57	0.14	
3.965	3.96	3.97	113.33	6.86	0.13	
3.975	3.97	3.98	113.60	6.57	0.14	
3.985	3.98	3.99	113.82	6.59	0.13	
3.995	3.99	4.00	114.01	6.67	0.14	
4.005	4.00	4.01	114.19	7.39	0.13	
4.015	4.01	4.02	114.39	6.86	0.13	
4.025	4.02	4.03	114.59	6.58	0.13	
4.035	4.03	4.04	114.79	6.38	0.13	
4.045	4.04	4.05	114.98	6.85	0.13	
4.055	4.05	4.06	115.17	6.33	0.15	
4.065	4.06	4.07	115.40	6.20	0.14	
4.075	4.07	4.08	115.61	6.58	0.13	
4.085	4.08	4.09	115.86	6.78	0.13	
4.095	4.09	4.10	116.19	6.60	0.13	
4.105	4.10	4.11	116.53	7.06	0.13	
4.115	4.11	4.12	116.88	7.01	0.13	
4.125	4.12	4.13	117.27	6.96	0.12	
4.135	4.13	4.14	117.69	6.44	0.13	
4.145	4.14	4.15	118.42	6.78	0.12	
4.155	4.15	4.16	119.21	7.23	0.12	
4.165	4.16	4.17	120.72	7.11	0.12	
4.175	4.17	4.18	122.14	7.00	0.12	
4.185	4.18	4.19	122.63	6.80	0.12	
4.195	4.19	4.20	123.17	6.76	0.12	
4.205	4.20	4.21	123.74	6.52	0.12	
4.215	4.21	4.22	124.37	6.63	0.12	
